selection_strategy,selection_rank,row_id,sample_name,label_numeric,primary_probability,record_category,target_region_group,paired_light_status,confidence_bin,developability_risk_bin,has_structure,cluster_id
highest_score,236,7089,CN111647077A-VHH5,1,0.8566220248618605,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,237,9592,STE73-2C2,1,0.8565905730162174,known_neutralising,RBD,paired,high,low,False,8
highest_score,238,6489,C2635,1,0.8558201348742716,known_neutralising,RBD,paired,high,low,False,4
highest_score,239,1650,AZ102,1,0.8556143130255067,known_neutralising,RBD,paired,high,medium,False,4
highest_score,240,9208,RBD6,1,0.8554150982106199,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,241,2434,ADI-75628,1,0.8552530896272051,known_neutralising,RBD,paired,high,low,False,4
highest_score,242,6613,C511,1,0.8550051587419526,known_neutralising,RBD,paired,high,low,False,4
highest_score,243,5588,C101,1,0.8549363030625505,known_neutralising,RBD,paired,high,low,False,8
highest_score,244,5393,Ab_53H3,1,0.8544141465838483,known_neutralising,RBD,paired,high,low,False,8
highest_score,245,3451,BD56-460,1,0.8542378031090603,conflict_label,RBD,paired,high,low,False,
highest_score,246,2030,COVOX-253H165L,1,0.8541573738830168,conflict_label,RBD,paired,high,medium,True,
highest_score,247,9281,S1-36,1,0.8539762772676485,known_neutralising,RBD,light_missing_or_single_chain,high,medium,False,6
highest_score,248,9074,R200-1B9,1,0.8537747397598843,known_neutralising,RBD,paired,high,medium,False,4
highest_score,249,9198,RBD10,1,0.8537178520654896,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,250,7092,CN111647077A-VHH8,1,0.8535362994648127,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,251,2478,ADI-75681,1,0.8533706558345986,known_neutralising,RBD,paired,high,low,False,4
highest_score,252,7076,CN111647077A-VHH17,1,0.8532606653372693,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,253,1783,AZ408,1,0.8530811181390051,known_neutralising,RBD,paired,high,medium,False,1
highest_score,254,1483,C1002,1,0.8529149930976897,known_neutralising,RBD,paired,high,low,False,1
